OCC_CODE,OCC_TITLE,TOT_EMP_2016,perc_2016,TOT_EMP_2015,,TOT_EMP_2014,,TOT_EMP_2013,,TOT_EMP_2012,,A_MEAN_2016,A_MEAN_2015,A_MEAN_2014,A_MEAN_2013,A_MEAN_2012,A_MEDIAN_2016,A_MEDIAN_2015,A_MEDIAN_2014,A_MEDIAN_2013,A_MEDIAN_2012
Business and financial operations occupations,Credit Analysts,"72,930",1,"70,840",,"69,390",,"66,490",,"61,240",,81160,79720,75970,72590,69500,"69,930","69,680","67,020","64,030","61,080"
Business and financial operations occupations,Financial Analysts,"281,610",3.87,"268,360",,"262,610",,"250,670",,"239,810",,97640,95320,92250,91620,89410,"81,760","80,310","78,620","78,380","76,950"
Business and financial operations occupations,Personal Financial Advisors,"201,850",2.77,"197,580",,"196,490",,"183,420",,"175,470",,123100,118050,108090,99920,90820,"90,530","89,160","81,060","75,320","67,520"
Business and financial operations occupations,Insurance Underwriters,"91,650",1.26,"89,960",,"91,720",,"92,540",,"91,810",,75480,72650,70570,70110,69200,"67,680","65,040","64,220","63,780","62,870"
Business and financial operations occupations,Financial Examiners,"49,750",0.68,"44,200",,"36,830",,"30,680",,"28,060",,88940,88310,86460,86980,84220,"79,280","78,010","76,310","76,890","75,800"
Business and financial operations occupations,Credit Counselors,"34,110",0.47,"30,510",,"29,600",,"27,710",,"27,640",,49480,49310,47600,44960,43670,"44,380","43,840","42,110","40,280","39,420"
Business and financial operations occupations,Loan Officers,"305,700",4.2,"303,870",,"300,580",,"301,860",,"286,670",,76260,75170,73670,71800,70350,"63,650","63,430","62,620","61,420","59,820"
Business and financial operations occupations,"Tax Examiners and Collectors, and Revenue Agents","58,450",0.8,"59,640",,"63,640",,"64,790",,"65,560",,57950,57280,56890,56120,56050,"52,060","51,430","51,120","50,610","50,440"
Business and financial operations occupations,Tax Preparers,"70,030",0.96,"72,060",,"68,590",,"67,810",,"61,140",,45340,44730,43870,43350,41700,"36,550","36,450","35,990","35,310","33,730"
Business and financial operations occupations,"Financial Specialists, All Other","123,270",1.69,"127,250",,"137,460",,"147,330",,"147,630",,76230,72480,71230,68130,67020,"69,470","66,670","65,440","62,510","61,160"
Computer and mathematical occupations,Computer and Information Research Scientists,"26,580",0.64,"25,510",,"24,210",,"24,380",,"24,880",,116320,115580,113190,109260,103670,"111,840","110,620","108,360","106,290","102,190"
Computer and mathematical occupations,Computer Systems Analysts,"568,960",13.66,"556,660",,"528,320",,"507,100",,"482,040",,91620,90180,87320,85320,83800,"87,220","85,800","82,710","81,190","79,680"
Computer and mathematical occupations,Information Security Analysts,"96,870",2.33,"88,880",,"80,180",,"78,020",,"72,670",,96040,93250,91600,91210,89290,"92,600","90,120","88,890","88,590","86,170"
Computer and mathematical occupations,Computer Programmers,"271,200",6.51,"289,420",,"302,150",,"312,340",,"316,790",,85180,84360,82690,80930,78260,"79,840","79,530","77,550","76,140","74,280"
