title,code,Less than high school diploma,High school or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree,A_MEAN_2016
Motorboat operators,Transportation and material moving occupations,8.7,31.7,26.1,7.7,20,4,1.7,43340
Ship engineers,Transportation and material moving occupations,11.9,37.2,30.2,4.9,13.5,2.4,0,74120
Bridge and lock tenders,Transportation and material moving occupations,5.3,38.8,34.4,9.9,8,3.3,0.4,46680
Parking lot attendants,Transportation and material moving occupations,15.3,36.8,24.1,9.8,11.3,2.4,0.3,23250
Automotive and watercraft service attendants,Transportation and material moving occupations,18.9,43.8,24.7,4.5,6.3,1.4,0.4,24280
Traffic technicians,Transportation and material moving occupations,5.3,38.8,34.4,9.9,8,3.3,0.4,48650
Transportation inspectors,Transportation and material moving occupations,5,32.7,30.9,14.1,14.4,2.7,0.2,72650
"Transportation attendants, except flight attendants",Transportation and material moving occupations,10.1,42.8,29.3,6.3,10.2,1.2,0.1,31080
"Transportation workers, all other",Transportation and material moving occupations,5.3,38.8,34.4,9.9,8,3.3,0.4,38740
Conveyor operators and tenders,Transportation and material moving occupations,16.8,59.1,12.3,6.9,4.6,0.4,0,33870
Crane and tower operators,Transportation and material moving occupations,16.6,50.2,23.6,5.6,3.6,0.3,0,55280
Dredge operators,Transportation and material moving occupations,20,51,20.4,4.2,4,0.4,0,46530
Excavating and loading machine and dragline operators,Transportation and material moving occupations,20,51,20.4,4.2,4,0.4,0,45230
"Loading machine operators, underground mining",Transportation and material moving occupations,20,51,20.4,4.2,4,0.4,0,51260
Hoist and winch operators,Transportation and material moving occupations,16.8,59.1,12.3,6.9,4.6,0.4,0,50020
Industrial truck and tractor operators,Transportation and material moving occupations,20.4,51.9,20.2,4.3,2.9,0.2,0,34260
Cleaners of vehicles and equipment,Transportation and material moving occupations,30.2,43.7,16.9,4.5,3.8,0.6,0.3,24660
"Laborers and freight, stock, and material movers, hand",Transportation and material moving occupations,18.8,47,21.7,5.9,5.7,0.8,0.3,28720
Machine feeders and offbearers,Transportation and material moving occupations,25.5,45.8,17.9,6,4.1,0.6,0.2,30490
"Packers and packagers, hand",Transportation and material moving occupations,35.6,39.3,16,4.1,4.2,0.5,0.2,24430
Gas compressor and gas pumping station operators,Transportation and material moving occupations,11.5,46.3,26.9,7.8,7.1,0.3,0,59620
"Pump operators, except wellhead pumpers",Transportation and material moving occupations,11.5,46.3,26.9,7.8,7.1,0.3,0,46270
Wellhead pumpers,Transportation and material moving occupations,11.5,46.3,26.9,7.8,7.1,0.3,0,50730
Refuse and recyclable material collectors,Transportation and material moving occupations,25.8,48.2,16.7,4.9,3.9,0.6,0.1,37690
Mine shuttle car operators,Transportation and material moving occupations,16.9,46.9,23.1,7,5.5,0.7,0.1,56370
"Tank car, truck, and ship loaders",Transportation and material moving occupations,16.9,46.9,23.1,7,5.5,0.7,0.1,39590
"Material moving workers, all other",Transportation and material moving occupations,16.9,46.9,23.1,7,5.5,0.7,0.1,34540
